"an,æ n"
"which,w ? t?"
"while,w a? l"
"whisper,?w ? s p ?"
"whistle,?w ? s l?"
"white,w a? t"
"who,h u?"
"whole,h o? l"
"why,w a?"
"wide,w a? d"
"wife,w a? f"
"wild,w a? l d"
"will,w ? l"
"win,w ? n"
"wind,w ? n d"
"window,?w ? n d o?"
"wine,w a? n"
"wing,w ? ?"
"winter,?w ? n t ?"
"wire,w a??"
"wise,w a? z"
"wish,w ? ?"
"with,w ? ð"
"within,w ? ?ð ? n"
"without,w ? ?ð a? t"
"woman,?w ? m ? n"
"wonder,?w ? n d ?"
"wonderful,?w ? n d ? f ? l"
"wood,w ? d"
"wool,w ? l"
"word,w ?? d"
"work,w ?? k"
"world,w ?? l d"
"worry,?w ? r i"
"worse,w ?? s"
"worth,w ?? ?"
"would,w ? d"
"write,r a? t"
"wrong,r ? ?"
"yard,j ?? d"
"year,j ??"
"yellow,?j ? l o?"
"yes,j ? s"
"yesterday,?j ? s t ? d e?"
"yet,j ? t"
"you,j u?"
"young,j ? ?"
"your,j ??"
"yourself,j ?? ?s ? l f"
"zero,?z ?? r o?"
"zoo,z u?"


